country,year,population,rate
USA,2000,1937482,683
USA,2002,2033022,703
USA,2004,2135335,725
USA,2006,2258792,752
USA,2008,2307504,755
USA,2010,2270142,731
USA,2012,2228424,707
USA,2014,2217947,693
USA,2015,2145100,666
Canada,2001,35533,115
Canada,2003,35868,114
Canada,2005,34365,107
Canada,2007,37452,115
Canada,2009,39051,117
Canada,2011,39916,117
Canada,2013,41026,118
Canada,2015,40663,114
Mexico,2000,154765,156
Mexico,2002,172888,169
Mexico,2004,193889,186
Mexico,2006,210140,197
Mexico,2008,219754,202
Mexico,2010,219027,194
Mexico,2012,239089,206
Mexico,2014,255638,214
Mexico,2016,233469,192
Belize,2000,765,320
Belize,2002,951,377
Belize,2004,1149,434
Belize,2006,1363,489
Belize,2008,1365,464
Belize,2010,1420,460
Belize,2012,1562,476
Belize,2014,1527,446
Belize,2015,1443,410
Guatemala,2000,6974,62
Guatemala,2002,8077,69
Guatemala,2004,8698,70
Guatemala,2006,7477,57
Guatemala,2008,8158,60
Guatemala,2010,11148,78
Guatemala,2012,15013,100
Guatemala,2014,18425,115
Guatemala,2016,21031,125
Guatemala,2017,21642,128
Honduras,2000,11500,184
Honduras,2002,11502,176
Honduras,2004,10931,160
Honduras,2006,11178,159
Honduras,2008,11390,154
Honduras,2010,11846,154
Honduras,2012,12095,152
Honduras,2014,16331,196
Honduras,2016,17253,200
ElSalvador,2000,7754,130
ElSalvador,2002,10907,181
ElSalvador,2004,12073,199
ElSalvador,2006,14771,242
ElSalvador,2008,19814,321
ElSalvador,2010,24662,395
ElSalvador,2012,27033,428
ElSalvador,2014,28334,442
ElSalvador,2016,36824,567
ElSalvador,2017,38007,585
Nicaragua,2000,6539,128
Nicaragua,2002,6885,131
Nicaragua,2004,6233,116
Nicaragua,2006,6103,110
Nicaragua,2008,6803,120
Nicaragua,2010,6500,112
Nicaragua,2012,9800,160
Nicaragua,2014,10569,171
CostaRica,2000,7575,193
CostaRica,2002,8113,198
CostaRica,2004,8890,209
CostaRica,2006,9037,206
CostaRica,2008,9682,214
CostaRica,2010,12110,259
CostaRica,2012,14555,303
CostaRica,2014,17440,352
CostaRica,2017,17132,352
Panama,2000,8652,280
Panama,2002,10423,325
Panama,2004,11400,342
Panama,2006,11575,335
Panama,2008,9651,270
Panama,2010,12293,333
Panama,2012,14468,378
Panama,2014,15208,386
Panama,2016,17165,421
Colombia,2000,51518,128
Colombia,2002,52936,127
Colombia,2004,68020,159
Colombia,2006,60021,136
Colombia,2008,69979,154
Colombia,2010,84444,181
Colombia,2012,113884,237
Colombia,2014,113623,231
Colombia,2016,118532,235
Colombia,2017,119269,236
Ecuador,2000,8029,64
Ecuador,2002,8723,67
Ecuador,2004,11358,84
Ecuador,2006,12635,90
Ecuador,2008,12067,83
Ecuador,2010,11800,79
Ecuador,2012,21080,135
Ecuador,2014,25902,162
Ecuador,2016,26421,160
Peru,2000,27734,107
Peru,2002,27417,103
Peru,2004,31311,114
Peru,2006,35835,128
Peru,2008,43286,151
Peru,2010,45464,155
Peru,2012,58019,193
Peru,2014,70276,228
Peru,2016,79644,252
Peru,2017,82200,259
Chile,2000,33050,215
Chile,2002,34901,222
Chile,2004,36374,226
Chile,2006,39417,240
Chile,2008,48826,291
Chile,2010,54628,320
Chile,2012,51882,298
Chile,2014,45501,257
Chile,2016,43603,242
Chile,2017,42819,237
Argentina,2002,57632,151
Argentina,2004,65351,168
Argentina,2006,60621,152
Argentina,2008,60611,149
Argentina,2010,65095,157
Argentina,2012,66484,157
Argentina,2014,69060,160
Argentina,2015,72693,167
Bolivia,2000,8151,95
Bolivia,2002,6065,68
Bolivia,2004,6495,70
Bolivia,2006,7031,73
Bolivia,2008,7433,75
Bolivia,2010,9406,92
Bolivia,2012,14272,135
Bolivia,2014,14220,130
Bolivia,2016,14598,130
Paraguay,2000,3219,60
Paraguay,2002,4621,82
Paraguay,2004,6101,104
Paraguay,2006,6037,99
Paraguay,2008,5867,93
Paraguay,2010,6197,95
Paraguay,2012,7916,117
Paraguay,2014,10949,158
Paraguay,2015,12741,180
Uruguay,2000,4469,135
Uruguay,2002,5630,169
Uruguay,2004,6888,207
Uruguay,2006,6887,207
Uruguay,2008,7665,229
Uruguay,2010,8700,257
Uruguay,2012,9418,277
Uruguay,2014,9542,279
Uruguay,2016,10228,297
Brazil,2000,232755,133
Brazil,2002,239345,133
Brazil,2004,336358,182
Brazil,2006,401236,212
Brazil,2008,451429,234
Brazil,2010,496251,253
Brazil,2012,548003,275
Brazil,2014,622202,307
Brazil,2017,659020,319
Guyana,2001,1507,205
Guyana,2002,1275,173
Guyana,2004,1280,172
Guyana,2006,1861,248
Guyana,2008,2117,281
Guyana,2010,2160,286
Guyana,2012,2032,269
Guyana,2014,1967,259
Guyana,2016,2113,278
Venezuela,2000,14196,58
Venezuela,2002,19368,76
Venezuela,2004,19951,76
Venezuela,2006,19257,70
Venezuela,2008,24069,85
Venezuela,2010,40825,140
Venezuela,2012,45224,150
Venezuela,2014,51256,166
Venezuela,2016,50791,160
